% profit,ema1,ema2,threshold,diff,thresh / diff,ID
4165.910821,59,66,0.24,7,0.034285714,42
4164.762516,62,75,0.38,13,0.029230769,42
4158.123862,63,74,0.32,11,0.029090909,42
4107.416394,67,68,0.03,1,0.03,42
4107.416394,66,69,0.09,3,0.03,42
4107.416394,65,70,0.15,5,0.03,42
4105.036966,58,67,0.31,9,0.034444444,42
4082.377301,59,77,0.54,18,0.03,42
4082.377301,58,78,0.6,20,0.03,42
4071.038489,57,68,0.38,11,0.034545455,42
4057.247579,64,71,0.21,7,0.03,42
4057.247579,63,72,0.27,9,0.03,42
4044.161503,61,63,0.07,2,0.035,42
4044.161503,60,64,0.14,4,0.035,42
4041.670518,54,72,0.61,18,0.033888889,42
4041.670518,53,73,0.68,20,0.034,42
4039.957916,57,79,0.66,22,0.03,42
4026.931168,56,80,0.72,24,0.03,42
4018.198198,62,73,0.33,11,0.03,42
4017.910111,49,77,0.96,28,0.034285714,42
4011.520626,56,71,0.49,15,0.032666667,42
4005.445979,58,69,0.36,11,0.032727273,42
3998.60045,59,70,0.35,11,0.031818182,42
3998.481975,52,74,0.75,22,0.034090909,42
3997.288324,50,76,0.89,26,0.034230769,42
3979.24919,57,69,0.4,12,0.033333333,42
3977.378118,55,72,0.56,17,0.032941176,42
3967.160382,58,68,0.34,10,0.034,42
3962.370796,60,67,0.23,7,0.032857143,42
3958.484111,51,75,0.82,24,0.034166667,42
3950.880296,56,69,0.45,13,0.034615385,42
3950.880296,55,70,0.52,15,0.034666667,42
3946.890643,51,74,0.8,23,0.034782609,42
3943.770718,51,76,0.84,25,0.0336,42
3935.190401,62,66,0.13,4,0.0325,42
3935.190401,60,68,0.26,8,0.0325,42
3932.207154,57,72,0.48,15,0.032,42
3931.575234,62,67,0.16,5,0.032,42
3924.802121,57,70,0.43,13,0.033076923,42
3924.802121,51,77,0.86,26,0.033076923,42
3924.777575,53,72,0.66,19,0.034736842,42
3924.777575,52,73,0.73,21,0.034761905,42
3924.204173,50,77,0.91,27,0.033703704,42
3923.378027,60,66,0.2,6,0.033333333,42
3921.566538,55,73,0.59,18,0.032777778,42
3921.566538,52,76,0.79,24,0.032916667,42
3921.532582,54,73,0.63,19,0.033157895,42
3921.532582,53,74,0.7,21,0.033333333,42
3921.298808,60,69,0.29,9,0.032222222,42
3919.22277,54,74,0.65,20,0.0325,42
3915.134804,54,73,0.64,19,0.033684211,42
3911.257595,61,74,0.39,13,0.03,42
3907.197981,56,72,0.52,16,0.0325,42
3900.558251,58,71,0.42,13,0.032307692,42
3900.035323,58,70,0.39,12,0.0325,42
3899.727214,56,71,0.5,15,0.033333333,42
3899.727214,55,72,0.57,17,0.033529412,42
3898.311992,56,70,0.47,14,0.033571429,42
3898.311992,55,71,0.54,16,0.03375,42
3896.478045,59,67,0.27,8,0.03375,42
3896.478045,52,75,0.77,23,0.033478261,42
3892.19068,53,75,0.72,22,0.032727273,42
3891.631022,54,71,0.59,17,0.034705882,42
3886.264755,53,77,0.77,24,0.032083333,42
3883.055051,50,78,0.93,28,0.033214286,42
3882.240547,49,78,0.98,29,0.033793103,42
3876.499807,50,76,0.9,26,0.034615385,42
3876.499807,49,77,0.97,28,0.034642857,42
3875.969117,56,73,0.55,17,0.032352941,42
3875.969117,53,76,0.75,23,0.032608696,42
3875.884827,55,74,0.61,19,0.032105263,42
3867.700248,58,69,0.37,11,0.033636364,42
3861.763474,54,75,0.68,21,0.032380952,42
3861.454805,51,78,0.89,27,0.032962963,42
3859.008596,57,72,0.49,15,0.032666667,42
3854.37391,50,80,0.98,30,0.032666667,42
3852.474682,62,65,0.1,3,0.033333333,42
3852.474682,59,68,0.3,9,0.033333333,42
3846.253205,54,74,0.66,20,0.033,42
3845.815037,60,72,0.37,12,0.030833333,42
3844.606343,51,79,0.91,28,0.0325,42
3840.15686,53,74,0.71,21,0.033809524,42
3840.009624,52,78,0.84,26,0.032307692,42
3839.199482,57,71,0.46,14,0.032857143,42
3837.398694,57,69,0.41,12,0.034166667,42
3836.774558,52,76,0.8,24,0.033333333,42
3832.296318,53,77,0.78,24,0.0325,42
3829.737778,55,73,0.6,18,0.033333333,42
3829.737778,53,76,0.76,23,0.033043478,42
3826.232432,58,71,0.43,13,0.033076923,42
3821.667665,53,75,0.73,22,0.033181818,42
3821.342944,61,67,0.2,6,0.033333333,42
3819.438767,59,76,0.51,17,0.03,42
3814.690121,58,75,0.52,17,0.030588235,42
3814.657888,59,69,0.33,10,0.033,42
3808.12675,55,74,0.62,19,0.032631579,42
3808.12675,52,77,0.82,25,0.0328,42
3805.924655,59,74,0.46,15,0.030666667,42
3801.787583,66,68,0.06,2,0.03,42
3801.787583,65,69,0.12,4,0.03,42
3801.787583,64,70,0.18,6,0.03,42
3800.840672,50,77,0.92,27,0.034074074,42
3800.840672,49,78,0.99,29,0.034137931,42
3799.87258,59,73,0.43,14,0.030714286,42
3785.290436,55,74,0.63,19,0.033157895,42
3783.778742,56,72,0.53,16,0.033125,42
3783.778742,54,75,0.69,21,0.032857143,42
3781.185366,58,70,0.4,12,0.033333333,42
3779.608666,57,77,0.61,20,0.0305,42
3779.608666,56,78,0.67,22,0.030454545,42
3773.158856,46,59,0.38,13,0.029230769,42
3772.398598,58,77,0.57,19,0.03,42
3768.50655,56,73,0.56,17,0.032941176,42
3767.740819,60,73,0.4,13,0.030769231,42
3760.041365,48,55,0.21,7,0.03,42
3760.041365,47,56,0.27,9,0.03,42
3759.516391,61,68,0.23,7,0.032857143,42
3754.95926,63,71,0.24,8,0.03,42
3754.95926,62,72,0.3,10,0.03,42
3754.95926,61,73,0.36,12,0.03,42
3746.805644,60,68,0.27,8,0.03375,42
3745.881396,51,52,0.03,1,0.03,42
3745.881396,50,53,0.09,3,0.03,42
3745.881396,49,54,0.15,5,0.03,42
3745.107087,57,72,0.5,15,0.033333333,42
3732.608249,61,66,0.17,5,0.034,42
3727.005455,57,78,0.64,21,0.03047619,42
3725.119486,50,79,0.96,29,0.033103448,42
3724.894255,57,70,0.44,13,0.033846154,42
3724.894255,57,71,0.47,14,0.033571429,42
