date,open,high,low,close
1309108200,17.51001,17.51001,15,15.1
1309111800,15,16,15,15
1309115400,15.00001,16.49999,14.01,14.01
1309119000,14.19999,16.49999,14.01,15.5
1309122600,15.5,16.49,15.13131,16.45001
1309126200,16.45001,16.466,16.001,16.3409
1309129800,16.3409,16.466,16.1711,16.28
1309133400,16.39999,16.39999,16.0251,16.07998
1309137000,16.07998,16.8,16.001,16.77901
1309140600,16.845,17.95,16.845,17.45
1309144200,17.45,17.5,15,16.83801
1309147800,17,18,16.82001,16.92
1309151400,16.92,17.73,16.85,17.52
1309155000,17.52,17.61,17.18999,17.2001
1309158600,17.20039,17.40999,17.20001,17.31499
1309162200,17.314,17.69,17.28439,17.446
1309165800,17.5,17.5,17.29,17.30001
1309169400,17.30001,17.395,17.29,17.29
1309173000,17.3347,17.6144,17.031,17.20899
1309176600,17.20899,17.323,17.02,17.15
1309180200,17.12,17.1515,16.95001,16.9699
1309183800,16.9502,17.12,16.6,17.12
1309187400,17.10001,17.2356,16.9501,17.16
1309191000,17.0911,17.1,16.98,17.00001
1309194600,17.00001,17.09099,16.8,17.0001
1309198200,17.0172,17.2,15,16.89191
1309201800,16.9,17,16.8,16.85001
1309205400,16.86,16.89999,16.801,16.8031
1309209000,16.80649,16.8124,16.5,16.7126
1309212600,16.7126,16.85,16.7126,16.801
1309216200,16.801,16.801,16.7002,16.7002
1309219800,16.74019,16.7402,16.5,16.6531
1309223400,16.6702,16.7237,16.52,16.5299
1309227000,16.529,16.72391,16.52001,16.64001
1309230600,16.64001,16.74,16.55,16.6337
1309234200,16.61,16.66501,16.511,16.53989
1309237800,16.53969,16.75,16.52569,16.65941
1309241400,16.65942,16.65942,16.52,16.60266
1309245000,16.60266,16.71,16.56,16.65721
1309248600,16.6799,16.7,16.56,16.56
1309252200,16.58,16.666,16.56,16.5601
1309255800,16.59,16.7,16.59,16.647
1309259400,16.66969,17.01103,16.66969,17.01103
1309263000,17,17.15,16.741,17.0301
1309266600,17.0301,17.1499,17,17.03701
1309270200,17.03701,17.211,17,17.01689
1309273800,17.01689,17.52,16.64,17.0406
1309277400,17.055,17.1999,17.03,17.07
1309281000,17.07,17.1,17.01999,17.1
1309284600,17.1,17.1,17.0245,17.0399
1309288200,17.0398,17.17,17.001,17.0066
1309291800,17.0453,17.06,17.001,17.00101
1309295400,17.003,17.069,17.001,17.01999
1309299000,17.03,17.03089,17.001,17.0079
1309302600,17.0011,17.008,16.8326,16.91089
1309306200,16.9038,16.93879,16.83,16.8998
1309309800,16.8998,16.92109,16.831,16.92
1309313400,16.9161,16.9389,16.9049,16.92001
1309317000,16.92002,16.92002,16.834,16.89977
1309320600,16.89945,16.9,16.87308,16.87992
1309324200,16.88013,16.91,16.87991,16.91
1309327800,16.91099,16.9799,16.88,16.9368
1309331400,16.93001,16.96,16.93001,16.9357
1309335000,16.93559,16.95,16.87769,16.8787
1309338600,16.8788,16.9498,16.85,16.9
1309342200,16.90937,16.929,16.87,16.88023
1309345800,16.88976,16.90991,16.88976,16.9001
1309349400,16.9001,16.9001,16.88978,16.89991
1309353000,16.89961,16.89961,16.722,16.8085
1309356600,16.77348,17,16.77,16.83
1309360200,16.8299,16.84,16.666,16.7209
1309363800,16.72101,16.9,16.72,16.9
1309367400,16.9,16.99,16.76,16.7667
1309371000,16.7794,17.2,16.71,16.83989
1309374600,16.84,16.9,16.83988,16.87
1309378200,16.87,16.89,16.83704,16.83704
1309381800,16.8401,16.95,16.83601,16.837
1309385400,16.83601,16.89,16.83,16.84
1309389000,16.84,16.95,16.84,16.846
1309392600,16.8657,16.94,16.8375,16.85
1309396200,16.851,16.9797,16.836,16.85999
1309399800,16.85999,16.98,16.803,16.84599
1309403400,16.84679,17,16.84,16.9
1309407000,16.881,16.95349,16.7487,16.86001
1309410600,16.861,16.88,16.86001,16.86072
1309414200,16.8628,16.86342,16.85,16.86
1309417800,16.8597,16.88,16.77014,16.85
1309421400,16.85898,16.9,16.8133,16.82
1309425000,16.8199,16.87,16.8198,16.8349
1309428600,16.82992,16.8589,16.81981,16.84289
1309432200,16.8364,16.8364,16.82,16.8297
1309435800,16.82489,16.8249,16.80332,16.81821
1309439400,16.81832,16.9,16.8,16.871
1309443000,16.871,16.929,16.7655,16.87069
1309446600,16.87059,16.87059,16.8001,16.83268
1309450200,16.83268,16.91002,16.8103,16.8103
1309453800,16.8295,16.83,16.8,16.80918
1309457400,16.8092,16.81019,16.77,16.81018
1309461000,16.81,16.81019,16.8,16.802
1309464600,16.802,16.81019,16.783,16.78759
1309468200,16.78759,16.7909,16.64002,16.64012
1309471800,16.65999,16.66,15.73,16.099
1309475400,16.09899,16.37,16,16.04009
1309479000,16.04,16.2,16.04,16.18
1309482600,16.168,16.6504,16.168,16.47409
1309486200,16.4702,16.47411,16.311,16.3425
1309489800,16.35983,16.74,16.3022,16.425
1309493400,16.39999,16.45999,16.3,16.371
1309497000,16.38699,16.3876,16.311,16.34996
1309500600,16.34997,16.34997,16.31499,16.31499
1309504200,16.34,16.34995,16.312,16.312
1309507800,16.312,16.34995,16.2,16.23985
1309511400,16.23986,16.24,16,16.09
1309515000,16.07,16.1232,15.9005,15.9005
1309518600,16.06251,16.2,15.86,16.13999
1309522200,16.06861,16.24001,16,16.15012
1309525800,16.1435,16.19,16,16.09103
1309529400,16.09103,16.19,15.93,16.06388
1309533000,16.05,16.07,15.9355,16.00001
1309536600,16.00001,16.0352,16.00001,16.0202
1309540200,16.04,16.12,16.00001,16.05002
1309543800,16.05011,16.089,15.931,16.01
1309547400,16.055,16.09,15.9,16.05201
1309551000,15.99001,16.0501,15.8,15.8
1309554600,15.92,16.05002,15.8,16.04
1309558200,16,16.05,15.26,15.38
1309561800,15.46,15.98,15.261,15.4898
1309565400,15.48981,15.51002,15.35,15.51002
1309569000,15.51012,15.7999,15.5,15.68141
1309572600,15.68151,15.74102,15.46,15.47056
1309576200,15.47076,15.504,15.4,15.40009
1309579800,15.38501,15.64485,15.271,15.6001
1309583400,15.649,15.74799,15.55,15.56998
1309587000,15.55292,15.8,15.55,15.7481
1309590600,15.7481,15.751,15.46,15.54
1309594200,15.58,15.68968,15.5,15.62907
1309597800,15.65009,15.75,15.65009,15.75
1309601400,15.75,15.7999,15.5,15.75006
1309605000,15.76817,15.79,15.67999,15.67999
1309608600,15.6612,15.8,15.611,15.8
1309612200,15.8,15.8,15.65,15.65
1309615800,15.65,15.74999,15.605,15.749
1309619400,15.749,15.75,15.3,15.57001
1309623000,15.57,15.6499,15.52,15.52
1309626600,15.51001,15.52823,15.41,15.4599
1309630200,15.4599,15.53099,15.411,15.45002
1309633800,15.45005,15.49001,15.351,15.39999
1309637400,15.38002,15.43,15.35001,15.4
1309641000,15.35092,15.51,15.33278,15.33278
1309644600,15.33282,15.54099,15.33,15.3506
1309648200,15.3511,15.4,15.311,15.311
1309651800,15.36,15.40055,15.33999,15.36
1309655400,15.35858,15.4208,15.32743,15.4022
1309659000,15.4027,15.45,15.4,15.4201
1309662600,15.43899,15.43899,15.41496,15.43043
1309666200,15.42922,15.43899,15.4,15.43898
1309669800,15.43787,15.43899,15.41,15.41022
1309673400,15.41629,15.4399,15.41088,15.4399
1309677000,15.4399,15.49999,15.4311,15.45556
1309680600,15.45576,15.49999,15.45001,15.49996
1309684200,15.49995,15.49995,15.45899,15.45999
1309687800,15.45826,15.689,15.45177,15.47019
1309691400,15.47019,15.5,15.467,15.4898
1309695000,15.48981,15.6,15.48019,15.53217
1309698600,15.53001,15.5751,15.49703,15.5
1309702200,15.5001,15.5634,15.5001,15.5496
1309705800,15.5634,15.689,15.5496,15.642
1309709400,15.642,15.651,15.36,15.51714
1309713000,15.51715,15.51815,15.359,15.46276
1309716600,15.46276,15.53216,15.46275,15.49872
1309720200,15.4991,15.52991,15.443,15.47821
1309723800,15.4709,15.49,15.46223,15.46225
